,time,A_bid,A_ask,B_bid,B_ask
265,1611448488.8623934,87.10000000000001,87.7,87.30000000000001,87.7
266,1611448488.9125779,87.10000000000001,87.7,87.30000000000001,87.7
267,1611448488.9627566,87.10000000000001,87.7,87.30000000000001,87.7
268,1611448489.0129297,87.10000000000001,87.7,87.30000000000001,87.7
269,1611448489.0631206,87.10000000000001,87.7,87.30000000000001,87.7
270,1611448489.1133158,87.10000000000001,87.7,87.30000000000001,87.7
271,1611448489.1636417,87.10000000000001,87.7,87.30000000000001,87.7
272,1611448489.213832,87.10000000000001,87.7,87.30000000000001,87.7
273,1611448489.2640243,87.10000000000001,87.7,87.30000000000001,87.7
274,1611448489.3142035,87.10000000000001,87.7,87.30000000000001,87.7
275,1611448489.3645496,87.10000000000001,87.7,87.30000000000001,87.7
276,1611448489.4147348,87.10000000000001,87.7,87.30000000000001,87.7
277,1611448489.4649205,87.10000000000001,87.7,87.30000000000001,87.80000000000001
278,1611448489.5151043,87.10000000000001,87.7,87.30000000000001,87.5
279,1611448489.5652778,87.10000000000001,87.7,87.30000000000001,87.5
280,1611448489.6154716,87.10000000000001,87.7,87.30000000000001,87.5
281,1611448489.665965,87.10000000000001,87.7,87.30000000000001,87.5
282,1611448489.830025,87.10000000000001,87.80000000000001,87.30000000000001,87.5
283,1611448489.8802001,87.10000000000001,87.80000000000001,87.30000000000001,87.5
284,1611448489.93037,87.10000000000001,87.80000000000001,87.30000000000001,87.5
285,1611448489.9805496,87.10000000000001,87.80000000000001,87.30000000000001,87.5
286,1611448490.030802,87.10000000000001,87.80000000000001,87.30000000000001,87.5
287,1611448490.0809824,87.10000000000001,87.80000000000001,87.30000000000001,87.5
288,1611448490.1311297,87.10000000000001,87.80000000000001,87.30000000000001,87.5
289,1611448490.1813104,87.10000000000001,87.80000000000001,87.30000000000001,87.5
290,1611448490.2314916,87.10000000000001,87.80000000000001,87.30000000000001,87.5
291,1611448490.2816634,87.10000000000001,87.80000000000001,87.30000000000001,87.5
292,1611448490.331841,87.10000000000001,87.80000000000001,87.30000000000001,87.5
293,1611448490.3820107,87.10000000000001,87.80000000000001,87.30000000000001,87.5
294,1611448490.4321837,87.10000000000001,87.80000000000001,87.30000000000001,87.5
295,1611448490.4823508,87.10000000000001,87.80000000000001,87.30000000000001,87.5
296,1611448490.5324564,87.10000000000001,87.80000000000001,87.30000000000001,87.5
297,1611448490.582624,87.10000000000001,87.80000000000001,87.30000000000001,87.5
298,1611448490.6328015,87.10000000000001,87.80000000000001,87.30000000000001,87.5
299,1611448490.6829846,87.10000000000001,87.80000000000001,87.30000000000001,87.5
300,1611448490.7331324,87.10000000000001,87.80000000000001,87.30000000000001,87.5
301,1611448490.7833047,87.10000000000001,87.80000000000001,87.30000000000001,87.5
302,1611448490.8334749,87.10000000000001,87.80000000000001,87.30000000000001,87.5
303,1611448490.8836498,87.10000000000001,87.80000000000001,87.30000000000001,87.5
304,1611448490.9338005,87.10000000000001,87.80000000000001,87.30000000000001,87.5
305,1611448490.9839733,87.10000000000001,87.80000000000001,87.30000000000001,87.5
306,1611448491.0341232,87.10000000000001,87.80000000000001,87.30000000000001,87.5
307,1611448491.0843086,87.10000000000001,87.80000000000001,87.30000000000001,87.5
308,1611448491.1344657,87.10000000000001,87.80000000000001,87.30000000000001,87.5
309,1611448491.310242,87.2,87.80000000000001,87.10000000000001,87.5
310,1611448491.3604176,87.2,87.80000000000001,87.2,87.5
311,1611448491.4132357,87.2,87.80000000000001,87.2,87.5
312,1611448491.4634154,87.2,87.80000000000001,87.2,87.5
313,1611448491.513559,87.2,87.80000000000001,87.2,87.5
314,1611448491.5637424,87.2,87.80000000000001,87.2,87.5
